,DLSs01,DLSs02,DLSs03,DLSt01,DLSt02,DLSt03,DPSs01,DPSs02,DPSs03,DPSt01,DPSt02,DPSt03,HLs01,HLs02,HLs03,HLt01,HLt02,HLt03,SLTs01,SLTs02,SLTs03,SLTt01,SLTt02,SLTt03,SLs01,SLs02,SLs03,SLt01,SLt02,SLt03,XSs01,XSs02,XSs03,XSt01,XSt02,XSt03
Zotu2246,1,11,1,63,11,29,0,0,3,5,2,1,0,1,4,29,1,5,4,0,5,10,3,1,23,30,26,4,0,14,9,4,10,9,7,24
Zotu22463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Zotu2247,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,11,0,14,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,7,17,0
Zotu22478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu2248,0,4,9,15,13,22,2,1,5,6,1,2,6,2,6,27,1,14,1,1,4,3,1,5,10,29,26,5,2,6,6,19,2,5,6,15
Zotu22480,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Zotu2249,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,1,0,2,1,0,0,0,1,4,8,1,0,0,0
Zotu225,18,71,90,229,112,148,12,30,19,121,60,44,504,68,230,215,4,50,46,6,32,118,57,73,147,113,93,69,4,64,135,113,119,56,67,58
Zotu2250,0,1,0,0,1,0,0,0,3,0,0,3,0,0,1,1,0,0,2,0,2,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0
Zotu2251,0,0,0,0,0,1,0,0,0,6,8,71,0,0,0,0,0,1,0,0,0,15,10,26,0,0,0,0,0,10,0,0,0,0,0,0
